Title,URL,Short_Intro,Category,Sub-Category,Course Type,Language,Subtitle Languages,Skills,Instructors,Rating,Number of viewers,Duration,Site,Program Type,Courses,Level,Number of Reviews,Unique Projects,Prequisites,What you learn,Related Programs,Monthly access,6-Month access,4-Month access,3-Month access,5-Month access,2-Month access,School,Topics related to CRM,ExpertTracks,FAQs,Course Title,Course URL,Course Short_Intro,Weekly study,Premium course,What's include,Rank,Created by,Program,Number of ratings,Price,COURSE CATEGORIES,combined_features
IT Fundamentals for Cybersecurity Specialization,https://www.coursera.org/specializations/it-fundamentals-cybersecurity,Launch your career in Cybersecurity. Acquire the knowledge you need to work in Cybersecurity,Information Technology,Security,Specialization,English,"Subtitles: English, Arabic, French, Portuguese (European), Italian, Vietnamese, German, Russian, Spanish","Operating System Security, database vulnerabilities, Cybersecurity, networking basics, Cyber Attacks, Information Security (INFOSEC), IBM New Collar, Malware, Network Security, Sql Injection, ","IBM Security Learning Services ,",4.6stars,"4,996 ",Approximately 5 months to complete,Coursera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"it fundamentals for cybersecurity specialization launch your career in cybersecurity. acquire the knowledge you need to work in cybersecurity operating system security, database vulnerabilities, cybersecurity, networking basics, cyber attacks, information security (infosec), ibm new collar, malware, network security, sql injection, "
Applied Software Engineering Fundamentals Specialization,https://www.coursera.org/specializations/software-engineering-fundamentals,"Build the foundation of your career in Software. Develop hands-on experience with Git, GitHub, Linux, and Python, and learn the fundamentals of Software Engineering. ",Computer Science,Software Development,Specialization,English,"Subtitles: English, Korean, Arabic","Linux, Software Design and Architecture, Python Programming, Git and GitHub, Software Development Lifecycle (SDLC), Basic programming concepts, Careers in software engineering, Programming languages and frameworks, The Software Development Lifecycle (SDLC), Software Architecture, Shell Script, Bash (Unix Shell), ","Rav Ahuja ,Lin Joyner ,Bethany Hudnutt ,Sam Prokopchuk ,Ramesh Sannareddy ,Upkar Lidder ,Joseph Santarcangelo ,",4.7stars,201 ,Approximately 5 months to complete,Coursera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"applied software engineering fundamentals specialization build the foundation of your career in software. develop hands-on experience with git, github, linux, and python, and learn the fundamentals of software engineering.  linux, software design and architecture, python programming, git and github, software development lifecycle (sdlc), basic programming concepts, careers in software engineering, programming languages and frameworks, the software development lifecycle (sdlc), software architecture, shell script, bash (unix shell), "
"DevOps, Cloud, and Agile Foundations Specialization",https://www.coursera.org/specializations/devops-cloud-and-agile-foundations,,Computer Science,Design and Product,Specialization,English,"Subtitles: English, German, Arabic, French, Portuguese (European), Italian, Vietnamese, Russian, Spanish","Cloud Native, Devops, Scrum, Cloud Computing, agile, Test-Driven Development, CI/CD, Behavior-Driven Development, Iaas PaaS Saas, Hybrid Multicloud, Agile Software Development, Scrum Methodology, ","John Rofrano ,Rav Ahuja ,",4.8stars,625 ,Approximately 4 months to complete,Coursera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cloud Application Development Foundations Specialization,https://www.coursera.org/specializations/ibm-cloud-application-development-foundations,Kickstart Your Career as a Cloud Native Developer. Learn the foundational front-end and back-end skills for developing and deploying applications on Cloud.,Information Technology,Cloud Computing,Specialization,English,"Subtitles: English, Arabic, French, Portuguese (European), Italian, Vietnamese, German, Russian, Spanish","Devops, Python Programming, Node.Js, HTML and CSS, Cloud Applications, Cloud Native, Iaas PaaS Saas, Hybrid Multicloud, Cloud Computing, Cascading Style Sheets (CSS), HTML, Git (Software), ","Rav Ahuja ,Upkar Lidder ,Michelle Saltoun ,Sachin Jambur ,",4.5stars,342 ,Approximately 6 months to complete,Coursera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"cloud application development foundations specialization kickstart your career as a cloud native developer. learn the foundational front-end and back-end skills for developing and deploying applications on cloud. devops, python programming, node.js, html and css, cloud applications, cloud native, iaas paas saas, hybrid multicloud, cloud computing, cascading style sheets (css), html, git (software), "
Python for Everybody Specialization,https://www.coursera.org/specializations/python,"Learn to Program and Analyze Data with Python. Develop programs to gather, clean, analyze, and visualize data.",Computer Science,Software Development,Specialization,English,"Subtitles: English, Arabic, French, Portuguese (European), Chinese (Simplified), Italian, Vietnamese, Korean, German, Russian, Turkish, Spanish","Json, Xml, Python Programming, Database (DBMS), Python Syntax And Semantics, Basic Programming Language, Computer Programming, Data Structure, Tuple, Web Scraping, Sqlite, SQL, ","Charles Russell Severance ,",4.8stars,"202,757 ",Approximately 8 months to complete,Coursera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"python for everybody specialization learn to program and analyze data with python. develop programs to gather, clean, analyze, and visualize data. json, xml, python programming, database (dbms), python syntax and semantics, basic programming language, computer programming, data structure, tuple, web scraping, sqlite, sql, "
Information Technology (IT) and Cloud Fundamentals Specialization,https://www.coursera.org/specializations/it-cloud-fundamentals,"Kickstart a new IT and Cloud Career . Master hardware, operating systems, programming, database, networking, storage, cybersecurity, and Cloud computing essentials. ",Information Technology,Cloud Computing,Specialization,English,"Subtitles: English, Arabic, French, Portuguese (European), Italian, Vietnamese, German, Russian, Spanish","IT Fundamentals, Cybersecurity, Cloud, Networking, hardware, Technical Support, IT Service Management (ITSM), Troubleshooting, IT Career, Software Development Process, database management, Software Application Development, ","Skills Network ,Rav Ahuja ,",4.8stars,278 ,Approximately 7 months to complete,Coursera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"information technology (it) and cloud fundamentals specialization kickstart a new it and cloud career . master hardware, operating systems, programming, database, networking, storage, cybersecurity, and cloud computing essentials.  it fundamentals, cybersecurity, cloud, networking, hardware, technical support, it service management (itsm), troubleshooting, it career, software development process, database management, software application development, "
"BI Foundations with SQL, ETL and Data Warehousing Specialization",https://www.coursera.org/specializations/bi-foundations-sql-etl-data-warehouse,"Springboard for BI Analytics success. Develop hands-on skills for building data pipelines, warehouses,  reports and dashboards.",Information Technology,Data Management,Specialization,English,"Subtitles: English, Arabic, Persian","Shell Script, Bash (Unix Shell), Linux, Cloud Databases, Python Programming, Jupyter notebooks, Relational Database Management System (RDBMS), SQL, Extraction, Transformation And Loading (ETL), Apache Kafka, Apache Airflow, Data Pipelines, ","Rav Ahuja ,Sam Prokopchuk ,Ramesh Sannareddy ,Hima Vasudevan ,Yan Luo ,Jeff Grossman ,Sabrina Spillner ,",4.6stars,210 ,Approximately 5 months to complete,Coursera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"bi foundations with sql, etl and data warehousing specialization springboard for bi analytics success. develop hands-on skills for building data pipelines, warehouses,  reports and dashboards. shell script, bash (unix shell), linux, cloud databases, python programming, jupyter notebooks, relational database management system (rdbms), sql, extraction, transformation and loading (etl), apache kafka, apache airflow, data pipelines, "
Natural Language Processing Specialization,https://www.coursera.org/specializations/natural-language-processing,Break into NLP. Master cutting-edge NLP techniques through four hands-on courses! Updated with the latest techniques in October '21.,Data Science,Machine Learning,Specialization,English,"Subtitles: English, Japanese","Word2vec, Machine Translation, Sentiment Analysis, Transformers, Attention Models, Word Embeddings, Locality-Sensitive Hashing, Vector Space Models, Parts-of-Speech Tagging, N-gram Language Models, Autocorrect, Word Embedding, ","Younes Bensouda Mourri ,Łukasz Kaiser ,Eddy Shyu ,",4.6stars,"4,787 ",Approximately 4 months to complete,Coursera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"natural language processing specialization break into nlp. master cutting-edge nlp techniques through four hands-on courses! updated with the latest techniques in october '21. word2vec, machine translation, sentiment analysis, transformers, attention models, word embeddings, locality-sensitive hashing, vector space models, parts-of-speech tagging, n-gram language models, autocorrect, word embedding, "
Business Foundations Specialization,https://www.coursera.org/specializations/wharton-business-foundations,"Solve Real Business Problems. Build a foundation of core business skills in marketing, finance, accounting and operations.",Business,Business Essentials,Specialization,English,"Subtitles: English, Arabic, French, Portuguese (European), Chinese (Simplified), Italian, Vietnamese, German, Russian, Spanish, Japanese, Korean, Portuguese (Brazilian)","Positioning (Marketing), Marketing, Marketing Strategy, Customer Satisfaction, Financial Accounting, Accounting, Financial Statement, Balance Sheet, Decision-Making, Change Management, Human Resources (HR), Discounted Cash Flow, ","Barbara E. Kahn ,Peter Fader ,Jagmohan Raju ,Brian J Bushee ,Michael Useem ,Peter Cappelli ,Michael R Roberts ,Christian Terwiesch ,",4.7stars,"17,404 ",Approximately 7 months to complete,Coursera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"business foundations specialization solve real business problems. build a foundation of core business skills in marketing, finance, accounting and operations. positioning (marketing), marketing, marketing strategy, customer satisfaction, financial accounting, accounting, financial statement, balance sheet, decision-making, change management, human resources (hr), discounted cash flow, "
Meta React Native Specialization,https://www.coursera.org/specializations/meta-react-native,"Become a cross-platform mobile app developer. Learn in-demand skills for developing reliable, scalable and user-friendly mobile apps for multiple operating systems, such as iOS and Android.",Computer Science,Mobile and Web Development,Specialization,English,Subtitles: English,"Web Development, React (Web Framework), HTML and CSS, Mobile Development, JavaScript, Test-Driven Development, Front-End Web Development, Object-Oriented Programming (OOP), Linux, Bash (Unix Shell), Github, Version Control, ","Taught by Meta Staff ,",4.8stars,564 ,Approximately 8 months to complete,Coursera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"meta react native specialization become a cross-platform mobile app developer. learn in-demand skills for developing reliable, scalable and user-friendly mobile apps for multiple operating systems, such as ios and android. web development, react (web framework), html and css, mobile development, javascript, test-driven development, front-end web development, object-oriented programming (oop), linux, bash (unix shell), github, version control, "
Mathematics for Machine Learning and Data Science Specialization,https://www.coursera.org/specializations/mathematics-for-machine-learning-and-data-science,"Master the Toolkit of AI and Machine Learning. Mathematics for Machine Learning and Data Science is a beginner-friendly Specialization where you’ll learn the fundamental mathematics toolkit of machine learning: calculus, linear algebra, statistics, and probability.",Computer Science,Algorithms,Specialization,English,Subtitles: English,"Bayesian Statistics, Machine Learning, Mathematics, Probability, Linear Regression, Linear Equation, Eigenvalues And Eigenvectors, Linear Algebra, Determinants, Calculus, Mathematical Optimization, Gradient Descent, ","Luis Serrano ,Elena Sanina ,Anshuman Singh ,Magdalena Bouza ,",4.5stars,369 ,Approximately 3 months to complete,Coursera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mathematics for machine learning and data science specialization master the toolkit of ai and machine learning. mathematics for machine learning and data science is a beginner-friendly specialization where you’ll learn the fundamental mathematics toolkit of machine learning: calculus, linear algebra, statistics, and probability. bayesian statistics, machine learning, mathematics, probability, linear regression, linear equation, eigenvalues and eigenvectors, linear algebra, determinants, calculus, mathematical optimization, gradient descent, "
Introduction to Finance and Accounting Specialization,https://www.coursera.org/specializations/finance-accounting,Learn the basics of finance and accounting. Build a foundation of core business skills in finance and accounting,Business,Finance,Specialization,English,"Subtitles: English, Arabic, French, Portuguese (European), Italian, Vietnamese, German, Russian, Spanish, Korean, Chinese (Simplified), Japanese","Corporate Finance, Financial Accounting, Financial Statement, Accounting, Decision-Making, Discounted Cash Flow, Cash Flow Analysis, Balance Sheet, Generally Accepted Accounting Principles, Accounting Terminology, ","Jessica Wachter ,Michael R Roberts ,Brian J Bushee ,",4.4stars,"1,753 ",Approximately 5 months to complete,Coursera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"introduction to finance and accounting specialization learn the basics of finance and accounting. build a foundation of core business skills in finance and accounting corporate finance, financial accounting, financial statement, accounting, decision-making, discounted cash flow, cash flow analysis, balance sheet, generally accepted accounting principles, accounting terminology, "
AI Foundations for Everyone Specialization,https://www.coursera.org/specializations/ai-foundations-for-everyone,,Data Science,Data Analysis,Specialization,English,"Subtitles: English, Arabic, French, Portuguese (European), Italian, Vietnamese, German, Russian, Spanish, Korean","Data Science, Deep Learning, Artificial Intelligence (AI), Machine Learning, Watson (Computer), Jobs, Application Programming Interfaces (API), watson, ","Rav Ahuja ,Antonio Cangiano ,",4.7stars,"2,218 ",Approximately 3 months to complete,Coursera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finance & Quantitative Modeling for Analysts Specialization,https://www.coursera.org/specializations/finance-quantitative-modeling-analysts,,Business,Finance,Specialization,English,"Subtitles: English, Arabic, French, Portuguese (European), Italian, Vietnamese, German, Russian, Spanish, Portuguese (Brazilian), Korean","Financial Modeling, Corporate Finance, Microsoft Excel, Modeling, Linear Regression, Probabilistic Models, Regression Analysis, Monte Carlo Method, Linear Programming (LP), Solver, Discounted Cash Flow, Decision-Making, ","Richard Waterman ,Don Huesman ,Richard Lambert ,Christopher D. Ittner ,Michael R Roberts ,",4.5stars,"2,412 ",Approximately 4 months to complete,Coursera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Machine Learning Engineering for Production (MLOps) Specialization,https://www.coursera.org/specializations/machine-learning-engineering-for-production-mlops,Become a Machine Learning expert. Productionize your machine learning knowledge and expand your production engineering capabilities.,Data Science,Machine Learning,Specialization,English,"Subtitles: English, French","Managing Machine Learning Production Systems, Deployment Pipelines, Model Pipelines, Data Pipelines, Machine Learning Engineering for Production, Human-level Performance (HLP), Concept Drift, Model baseline, Project Scoping and Design, ML Deployment Challenges, ML Metadata, Convolutional Neural Network, ","Andrew Ng ,Cristian Bartolomé Arámburu ,Robert Crowe ,Laurence Moroney ,",4.7stars,"2,780 ",Approximately 4 months to complete,Coursera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"machine learning engineering for production (mlops) specialization become a machine learning expert. productionize your machine learning knowledge and expand your production engineering capabilities. managing machine learning production systems, deployment pipelines, model pipelines, data pipelines, machine learning engineering for production, human-level performance (hlp), concept drift, model baseline, project scoping and design, ml deployment challenges, ml metadata, convolutional neural network, "
Business and Financial Modeling Specialization,https://www.coursera.org/specializations/wharton-business-financial-modeling,Build Business and Financial Models. Use spreadsheet models to make data-driven financial decisions,Business,Business Essentials,Specialization,English,"Subtitles: English, Arabic, French, Portuguese (European), Italian, Vietnamese, German, Russian, Spanish, Portuguese (Brazilian)","Financial Modeling, Microsoft Excel, Simulation, Linear Programming (LP), Modeling, Linear Regression, Probabilistic Models, Regression Analysis, Monte Carlo Method, Solver, Risk, Cash Flow, ","Richard Waterman ,Don Huesman ,Sergei Savin ,Senthil Veeraraghavan ,Richard Lambert ,Robert W. Holthausen ,",4.5stars,"7,555 ",Approximately 6 months to complete,Coursera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"business and financial modeling specialization build business and financial models. use spreadsheet models to make data-driven financial decisions financial modeling, microsoft excel, simulation, linear programming (lp), modeling, linear regression, probabilistic models, regression analysis, monte carlo method, solver, risk, cash flow, "
Business Analytics Specialization,https://www.coursera.org/specializations/business-analytics,Make Data-Driven Business Decisions. Achieve fluency in business data strategies in four discipline-specific courses.,Data Science,Data Analysis,Specialization,English,"Subtitles: English, Arabic, French, Portuguese (European), Italian, Vietnamese, German, Russian, Spanish, Chinese (Simplified), Korean, Mongolian","Customer Analytics, Analytics, Business Analytics, Decision Tree, Predictive Analytics, Regression Analysis, Marketing Performance Measurement And Management, Simulation, Mathematical Optimization, Solver, Talent Management, Performance Management, ","Eric Bradlow ,Peter Fader ,Raghu Iyengar ,Ron Berman ,Senthil Veeraraghavan ,Sergei Savin ,Noah Gans ,Cade Massey ,Martine Haas ,Matthew Bidwell ,Brian J Bushee ,Christopher D. Ittner ,Wharton Teaching Staff ,",4.6stars,"15,725 ",Approximately 6 months to complete,Coursera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"business analytics specialization make data-driven business decisions. achieve fluency in business data strategies in four discipline-specific courses. customer analytics, analytics, business analytics, decision tree, predictive analytics, regression analysis, marketing performance measurement and management, simulation, mathematical optimization, solver, talent management, performance management, "
Excel Skills for Business Specialization,https://www.coursera.org/specializations/excel,Learn Excel Skills for Business. Master Excel to add a highly valuable asset to your employability portfolio. ,Business,Business Essentials,Specialization,English,"Subtitles: English, Arabic, French, Portuguese (European), Italian, Vietnamese, German, Russian, Spanish, Hungarian","Data Validation, Microsoft Excel, Microsoft Excel Macro, Pivot Table, Graphs, Spreadsheet, Chart, Concatenation, Consolization, Pivot Chart, Lookup Table, Microsoft Excel Vba, ","Nicky Bull ,Dr Prashan S. M. Karunaratne ,Professor Yvonne Breyer ,",4.9stars,"42,571 ",Approximately 6 months to complete,Coursera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"excel skills for business specialization learn excel skills for business. master excel to add a highly valuable asset to your employability portfolio.  data validation, microsoft excel, microsoft excel macro, pivot table, graphs, spreadsheet, chart, concatenation, consolization, pivot chart, lookup table, microsoft excel vba, "
Learn SQL Basics for Data Science Specialization,https://www.coursera.org/specializations/learn-sql-basics-data-science,,Data Science,Data Analysis,Specialization,English,"Subtitles: English, Arabic, French, Portuguese (European), Italian, Vietnamese, German, Russian, Spanish","Data Analysis, Apache Spark, Delta Lake, SQL, Data Science, Sqlite, A/B Testing, Query String, Predictive Analytics, Presentation Skills, creating metrics, Exploratory Data Analysis, ","Sadie St. Lawrence ,Katrina Glaeser Poole ,Brooke Wenig ,Conor Murphy ,Don Noxon ,",4.5stars,"8,649 ",Approximately 4 months to complete,Coursera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Materiality of ESG Factors Specialization,https://www.coursera.org/specializations/materiality-esg-factors,Learn about ESG Factors When Investing. Analyze the importance of ESG investing. Identify how the ESG approach should be an essential piece of your strategy based on various factors impacting and driving value.,Business,Finance,Specialization,English,Subtitles: English,"ESG, Investment, Climate Change, Finance, social activism, ","Witold Henisz ,Christopher Geczy ,Sarah Light ,Mary-Hunter McDonnell ,",4.7stars,643 ,Approximately 4 months to complete,Coursera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"the materiality of esg factors specialization learn about esg factors when investing. analyze the importance of esg investing. identify how the esg approach should be an essential piece of your strategy based on various factors impacting and driving value. esg, investment, climate change, finance, social activism, "
